,A,C1,Y,C2,C3,X1,X2,X3,C4,C5,C6,X4,X5,X6
0,1,0,0,1,2,1,3,1,6.0,2.0,5.3,6.0,1.7,5.1
1,0,1,0,1,3,1,2,3,5.0,1.0,4.0,5.5,0.5322022228121893,4.5
2,1,1,1,3,0,0,3,0,6.0,2.0,5.3,6.0,2.4679499181569398,5.1
3,0,1,1,3,0,0,2,1,4.369423453112955,1.0,6.300592043433712,5.5,1.4062930210010702,4.5
4,0,0,0,2,1,0,3,0,5.0,1.0,3.809558868674605,5.5,1.3739829838260285,3.3919694699879903
5,0,0,0,1,3,1,0,1,5.0,1.0,3.5587282708236105,5.5,1.3739829838260285,3.3919694699879903
6,1,1,1,0,1,1,1,3,6.3542972259596,2.1018360638863105,5.0053363425749,6.0,1.9864818669217503,4.931391214473984
7,0,0,1,3,1,0,1,0,5.341032176739117,1.0,4.939136169296587,5.5,1.482395139080593,4.460299445864409
8,1,1,1,0,0,0,2,3,6.803012077490608,2.1018360638863105,5.15045781996603,6.0,1.9699691634568641,5.495855489073816
9,0,0,0,2,2,0,2,3,4.947637328265914,1.0,6.954313122203343,5.5,0.976034261734964,3.3919694699879903
10,1,0,1,2,2,0,3,1,6.475073381112364,2.1018360638863105,4.903852368259864,6.0,0.887571862069428,5.456188002978384
11,1,0,0,0,1,1,2,1,5.29202969399636,1.750390742601567,4.85679640399437,5.702789611534737,1.7,4.479075999852044
12,0,1,1,1,0,0,2,0,2.7487135505529667,1.0,3.621383840459908,5.5,2.5416275590819346,4.943932051699325
13,1,0,0,2,2,1,0,0,5.29202969399636,1.750390742601567,5.321243879697884,5.702789611534737,1.7,4.988744615043284
14,1,0,1,3,0,1,3,0,6.475073381112364,1.5522808681703615,6.674045235925836,6.0,3.3038435817524574,6.1810664754930045
15,0,0,0,2,2,1,2,0,6.88811959511672,1.0,3.0166941899504747,5.5,-0.05912642867860618,3.3919694699879903
16,0,0,1,2,3,0,2,3,6.599641786966179,1.0,4.41767739142024,5.5,1.0611609507338808,4.517092396330479
17,0,1,0,2,1,1,1,0,6.752532950332782,1.0,3.2032937280489544,5.5,-0.05912642867860618,3.3919694699879903
18,0,0,0,0,3,0,1,3,2.787885387436296,1.0,3.2032937280489544,5.5,0.2814976785236394,3.3919694699879903
19,1,1,1,3,3,0,0,0,6.475073381112364,0.845659979728571,6.295326027750436,6.0,3.3038435817524574,5.36582067062239
20,1,1,1,3,1,0,1,1,5.293593005667175,1.7377409848372491,6.295326027750436,6.0,0.31717786316361085,5.958206687252162
21,1,0,0,1,1,0,2,2,5.308766254995341,2.3534536788597107,5.41118327839402,4.654596437922025,1.7859909888740941,4.74461693811952
22,0,0,1,0,2,0,3,0,4.42445698149457,1.0,4.403972449911588,5.5,1.0611609507338808,3.93156661175619
23,1,1,0,2,0,1,3,3,5.308766254995341,2.3534536788597107,6.205172816950776,4.654596437922025,2.2747776041469634,5.676991007704539
24,0,1,1,3,2,0,1,0,3.410283781593463,1.2225754493846348,4.403972449911588,5.269845961140694,1.0611609507338808,3.93156661175619
25,1,1,1,1,2,0,3,0,5.359962395754955,3.675110969456993,3.7341528375680753,6.0,1.937797780722882,4.889302318747729
26,0,0,1,2,0,1,2,2,4.423631316757232,1.2225754493846348,4.403972449911588,5.269845961140694,0.5657281578956744,3.93156661175619
27,1,1,0,3,1,0,0,2,5.308766254995341,2.3534536788597107,6.205172816950776,4.654596437922025,2.466366996072383,4.516151307479182
28,1,0,0,2,3,1,3,1,5.308766254995341,2.3534536788597107,6.205172816950776,4.654596437922025,2.466366996072383,4.992036688604248
29,0,1,0,2,1,1,0,1,4.942107338138671,1.0,3.4607723391736007,5.5,1.760151934132907,3.3919694699879903
30,0,0,1,2,3,0,0,3,6.886824982337966,1.2225754493846348,5.151123588944216,5.269845961140694,2.0879680177400877,3.93156661175619
31,1,0,0,0,3,0,2,3,5.308766254995341,2.871815153523024,6.083726360129381,4.654596437922025,2.466366996072383,4.125690171994563
32,0,1,1,1,2,0,2,3,6.762095090810506,1.2225754493846348,3.843812413591051,5.269845961140694,0.9989295936212115,3.93156661175619
33,1,0,0,0,0,1,3,2,5.308766254995341,2.871815153523024,6.083726360129381,4.654596437922025,0.7186789366833031,4.125690171994563
34,1,0,0,1,3,1,2,0,5.308766254995341,2.871815153523024,6.083726360129381,4.654596437922025,0.7186789366833031,5.985577383799655
35,1,1,1,0,2,0,1,2,7.171732566295609,1.3526610301648094,4.690714208271157,6.0,1.7507300230867746,6.090658139486765
36,0,0,0,3,3,0,2,0,5.025524486737857,1.0,6.370679056113575,5.5,2.7414966741684386,3.3919694699879903
37,0,0,1,0,1,1,0,0,3.165490567661388,1.2225754493846348,3.1546476410813464,5.269845961140694,2.0618322911131326,4.152847718458996
38,1,1,1,1,0,1,2,0,7.171732566295609,1.5972898678275003,6.381137701312818,6.0,3.0053791339805103,6.6547247942886205
39,0,0,0,3,3,0,0,2,5.025524486737857,1.0,6.370679056113575,4.987021152064266,2.2373409886996924,3.3919694699879903
40,1,1,0,2,1,0,0,0,5.308766254995341,2.871815153523024,4.959063925356819,7.298849388640454,0.7186789366833031,4.2800068978286285
41,1,0,1,3,0,1,0,2,5.220405740657,2.825040900304333,5.587752853514548,6.0,2.944619144510378,4.023440518277222
42,1,1,1,1,1,1,1,2,5.220405740657,2.825040900304333,5.33846886346578,6.0,2.944619144510378,4.023440518277222
43,0,0,1,2,0,0,2,1,6.10365731692818,0.7623014377802253,4.994003812851513,5.269845961140694,1.6321473046918404,4.152847718458996
44,0,0,0,1,3,0,0,3,5.78747062973577,0.8533188416191144,4.472389221769998,4.987021152064266,0.7560105134063766,4.9626721367348745
45,0,1,1,2,2,0,1,2,6.352021052996852,0.6428715441378072,5.236334525495952,5.269845961140694,3.0711024372605706,4.152847718458996
46,0,1,1,3,1,1,3,0,3.4224857737719176,0.6428715441378072,2.6620148198292872,5.269845961140694,3.0711024372605706,4.35941888218019
47,0,0,1,0,3,1,2,3,3.4224857737719176,0.6428715441378072,2.6620148198292872,5.269845961140694,3.0711024372605706,4.35941888218019
48,1,1,0,1,0,0,0,3,5.63018003266289,2.871815153523024,4.2176279468250595,5.591491560080248,2.126505601549157,6.262807968035748
49,1,0,1,0,3,0,1,3,6.73336299015075,1.3415596885843928,5.570682296343373,6.0,2.4783191964176634,5.150002292088237
50,0,1,1,0,3,1,2,3,6.272999580225834,0.6428715441378072,2.6685006232386765,5.269845961140694,-0.12383392499602763,4.35941888218019
51,1,1,1,2,0,1,0,0,7.264545341421529,3.002899628215105,2.8765837305605935,6.0,2.4783191964176634,5.7383829146673575
52,0,1,0,1,3,0,1,0,4.964901877173073,1.1216778618851844,4.632482131072036,4.987021152064266,0.7791378761803818,4.843126605185087
53,0,1,1,0,3,1,2,2,4.49471456412606,0.6428715441378072,2.009557592708606,5.269845961140694,2.517747503189854,4.35941888218019
54,1,0,0,0,0,0,3,3,5.7850523064514,2.871815153523024,4.2176279468250595,6.762822534594816,1.8996575393592028,5.146849091199293
55,1,1,1,0,0,0,0,1,5.97986842427476,1.67382105878945,3.0042114145145398,6.0,0.544715443734046,5.073386670387392
56,0,0,0,2,3,1,2,3,2.5069028288905715,0.889717504486977,2.7979935276003136,4.987021152064266,1.2625891892055896,4.843126605185087
57,1,1,1,0,0,0,0,0,5.97986842427476,1.67382105878945,6.768799388634692,6.0,1.5047681310529892,5.073386670387392
58,1,1,1,2,3,1,3,2,5.642605916713876,1.67382105878945,4.491194810507861,6.0,1.5047681310529892,5.073386670387392
59,1,0,0,0,2,1,1,0,6.215400024928607,2.871815153523024,4.2176279468250595,6.818694831292648,1.8996575393592028,4.246495828517636
60,0,0,0,0,0,0,1,3,4.33304620346631,0.7303203343137616,2.5865692280476256,4.987021152064266,1.345912849784333,4.843126605185087
61,0,1,0,2,3,1,1,2,4.33304620346631,0.7303203343137616,4.403248581234375,4.987021152064266,0.7123826148807467,4.843126605185087
62,0,0,1,1,1,0,0,1,6.098791907919522,0.1230415839037613,3.2561668579423797,5.269845961140694,1.4218220505692356,4.249980295221031
63,1,1,1,2,1,1,0,2,5.573087197225453,1.4608545490455511,4.491194810507861,6.0,2.8508164323803666,6.185247668111904
64,0,1,0,2,0,1,3,1,4.056819011836351,0.7303203343137616,1.1629674533156544,4.987021152064266,2.158332511764795,4.725288164540526
65,1,1,1,3,2,0,2,2,5.573087197225453,1.4713885075648732,6.332416591984929,6.0,2.8508164323803666,5.8171076537344995
66,1,1,1,1,1,0,1,1,5.573087197225453,1.4713885075648732,5.452151743186361,6.0,2.430533599264286,5.8171076537344995
67,0,0,0,3,3,1,3,3,4.3719520674260535,0.7303203343137616,4.643847182073722,4.987021152064266,0.11676459287274032,3.8896163371360584
68,1,0,1,2,1,0,2,1,6.909140878871064,1.6588247229956918,5.452151743186361,6.0,2.430533599264286,4.263381875450451
69,1,1,0,2,1,1,1,0,6.215400024928607,2.8899369090611704,4.2176279468250595,4.920683372717221,2.146557728164047,6.4587819613776745
70,0,0,1,2,2,1,2,3,4.406733208196739,0.1230415839037613,3.2632267276385454,5.445555289538261,-0.6179462634046993,4.249980295221031
71,1,1,1,2,2,0,1,1,6.909140878871064,3.0546289150912607,5.205995727152745,6.0,2.6312395219931837,2.890603921146429
72,1,1,1,0,0,1,2,3,6.909140878871064,3.0546289150912607,2.9716387920815546,5.874024731242107,2.6312395219931837,6.963596794998461
73,0,1,1,3,2,0,0,0,4.326744870566436,0.1230415839037613,3.2632267276385454,5.445555289538261,1.482282673581782,4.0408707410444675
74,0,0,0,1,1,1,0,3,5.302412490662617,0.7303203343137616,4.037589022377943,4.987021152064266,0.9358549618497336,3.8896163371360584
75,0,1,0,0,3,1,2,3,5.302412490662617,0.7303203343137616,4.037589022377943,4.987021152064266,0.9358549618497336,3.8896163371360584
76,0,0,0,0,1,0,1,1,5.099818109561037,0.7303203343137616,4.037589022377943,4.987021152064266,0.9358549618497336,3.8896163371360584
77,1,1,0,2,0,0,1,0,5.949360692697853,2.8899369090611704,4.2176279468250595,6.351414949964701,0.7908615194352471,4.98285242953622
78,1,1,1,1,3,1,1,3,5.677717297611622,4.781987749022727,4.261636540026145,5.874024731242107,2.0818600952945214,7.28516070927769
79,0,1,0,3,1,1,0,1,4.381511227669812,0.7303203343137616,2.501101978176032,4.987021152064266,2.4492463974764496,3.8896163371360584
80,0,1,1,1,2,0,2,1,4.850550355200893,0.363888270048365,5.094243356690623,6.1656893636266705,2.955306509613796,4.0408707410444675
81,1,1,0,2,0,0,3,1,4.842042247879675,2.6749900128854773,4.2176279468250595,6.351414949964701,0.7908615194352471,4.98285242953622
82,0,1,1,3,3,0,3,3,7.631366518289903,0.8561169251967928,5.062105896603659,6.1656893636266705,0.3538230930455424,4.0408707410444675
83,1,0,1,1,0,0,3,1,5.677717297611622,2.820817759907925,3.5467739751248164,5.874024731242107,1.4020026680779352,4.282270107533834
84,1,1,1,0,0,1,0,0,5.677717297611622,1.9953472604629907,6.245560790680651,5.874024731242107,1.4020026680779352,4.282270107533834
85,1,1,0,3,0,1,3,2,4.842042247879675,2.6749900128854773,4.2176279468250595,6.439258050445977,0.7908615194352471,5.420388367865957
86,0,1,1,0,3,0,0,3,6.293285600171699,1.051194963021346,5.062105896603659,6.1656893636266705,0.9117701462566372,4.0408707410444675
87,0,0,0,3,2,0,3,1,5.509450324113452,0.7303203343137616,5.33328787449076,4.987021152064266,0.8080704487178627,4.093601775949429
88,1,1,0,1,2,0,1,0,4.842042247879675,2.6749900128854773,4.2176279468250595,6.439258050445977,-0.10305991194984476,5.363071169194806
89,0,1,1,2,3,0,2,2,5.203984499211988,1.051194963021346,2.9646109107000735,6.1656893636266705,0.7823443788163462,4.0408707410444675
90,1,0,0,1,3,0,0,1,4.842042247879675,2.6749900128854773,4.2176279468250595,6.439258050445977,-0.10305991194984476,5.4692858198682535
91,0,0,1,1,3,1,0,1,6.430934073035329,1.051194963021346,2.9646109107000735,6.1656893636266705,0.7823443788163462,4.0408707410444675
92,1,1,0,0,0,1,0,2,6.1797940447272905,2.6749900128854773,4.2176279468250595,6.439258050445977,-0.10305991194984476,5.2606396837983445
93,1,1,0,3,0,1,0,0,6.1797940447272905,2.6749900128854773,4.2176279468250595,6.439258050445977,-0.10305991194984476,5.2606396837983445
94,1,1,0,2,2,1,2,1,6.1797940447272905,2.6749900128854773,4.2176279468250595,6.439258050445977,-0.10305991194984476,5.2606396837983445
95,0,0,0,2,1,0,3,2,4.09605181858042,0.7303203343137616,3.5871978430105544,4.987021152064266,0.2470754590497206,4.990150963680033
96,1,1,1,0,3,1,2,0,4.877331149778923,2.46919164734262,5.949466161170742,5.874024731242107,1.7997061071575793,5.0753785252526
97,0,1,0,3,1,1,1,3,4.09605181858042,0.7303203343137616,2.9741529953122807,4.987021152064266,0.2470754590497206,4.990150963680033
98,1,0,1,0,1,0,3,1,4.877331149778923,3.253039622824325,3.083409339976054,5.874024731242107,1.7997061071575793,3.7912859653549185
99,0,0,0,3,3,0,0,1,5.057384820666368,0.7303203343137616,2.9741529953122807,4.987021152064266,1.444355178293418,4.990150963680033
